rowNum,Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
3637,128349062,1,"Walsingham Gardens, Stoneleigh",625000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128349062#/?channel=RES_BUY,"The Personal Agent, Stoneleigh",Initial entry,2022-10-24,,2023-10-21,"Sutton, Surrey"
3638,128349062,2,"Walsingham Gardens, Stoneleigh",625000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128349062#/?channel=RES_BUY,"The Personal Agent, Stoneleigh",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
3593,128404637,1,"Alexandra Avenue, Sutton",700000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128404637#/?channel=RES_BUY,"Barnard Marcus, Sutton",Initial entry,2022-10-25,,2023-10-21,"Sutton, Surrey"
3594,128404637,2,"Alexandra Avenue, Sutton",680000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128404637#/?channel=RES_BUY,"Barnard Marcus, Sutton",Reduced,2023-02-08,,2023-10-21,"Sutton, Surrey"
3595,128404637,3,"Alexandra Avenue, Sutton",650000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128404637#/?channel=RES_BUY,"Barnard Marcus, Sutton",Reduced,2023-02-20,,2023-10-21,"Sutton, Surrey"
3596,128404637,4,"Alexandra Avenue, Sutton",625000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128404637#/?channel=RES_BUY,"Barnard Marcus, Sutton",Reduced,2023-08-25,,2023-10-21,"Sutton, Surrey"
82,128524064,1,"Cannon Lane, Pinner, HA5",875000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128524064#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2022-10-28,,2023-10-19,"Pinner, Middlesex"
83,128524064,2,"Cannon Lane, Pinner, HA5",825000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128524064#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2022-11-14,,2023-10-19,"Pinner, Middlesex"
84,128524064,3,"Cannon Lane, Pinner, HA5",875000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128524064#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2022-11-14,,2023-10-19,"Pinner, Middlesex"
85,128524064,4,"Cannon Lane, Pinner, HA5",825000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128524064#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2022-11-14,,2023-10-19,"Pinner, Middlesex"
86,128524064,5,"Cannon Lane, Pinner, HA5",795000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128524064#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2022-12-22,,2023-10-19,"Pinner, Middlesex"
87,128524064,6,"Cannon Lane, Pinner, HA5",775000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128524064#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-01-25,,2023-10-19,"Pinner, Middlesex"
88,128524064,7,"Cannon Lane, Pinner, HA5",775000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128524064#/?channel=RES_BUY,"Robsons, Pinner",UNDER OFFER,2023-10-19,,2023-10-19,"Pinner, Middlesex"
1829,128593556,1,"Field End Road, Ruislip",635000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128593556#/?channel=RES_BUY,"Coopers, Ruislip Manor",Initial entry,2022-10-31,,2023-10-21,"Pinner, Middlesex"
1830,128593556,2,"Field End Road, Ruislip",625000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128593556#/?channel=RES_BUY,"Coopers, Ruislip Manor",Reduced,2023-04-20,,2023-10-21,"Pinner, Middlesex"
1831,128593556,3,"Field End Road, Ruislip",625000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128593556#/?channel=RES_BUY,"Coopers, Ruislip Manor",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
4114,128686676,1,"Hillcross Avenue, Morden",595000,3,End of Terrace,https://www.rightmove.co.uk/properties/128686676#/?channel=RES_BUY,"Drury & Cole, Morden",Initial entry,2022-11-03,,2023-10-21,"Sutton, Surrey"
4115,128686676,2,"Hillcross Avenue, Morden",580000,3,End of Terrace,https://www.rightmove.co.uk/properties/128686676#/?channel=RES_BUY,"Drury & Cole, Morden",Reduced,2023-01-26,,2023-10-21,"Sutton, Surrey"
4116,128686676,3,"Hillcross Avenue, Morden",575000,3,End of Terrace,https://www.rightmove.co.uk/properties/128686676#/?channel=RES_BUY,"Drury & Cole, Morden",Reduced,2023-02-21,,2023-10-21,"Sutton, Surrey"
4117,128686676,4,"Hillcross Avenue, Morden",550000,3,End of Terrace,https://www.rightmove.co.uk/properties/128686676#/?channel=RES_BUY,"Drury & Cole, Morden",Reduced,2023-04-18,,2023-10-21,"Sutton, Surrey"
4118,128686676,5,"Hillcross Avenue, Morden",550000,3,End of Terrace,https://www.rightmove.co.uk/properties/128686676#/?channel=RES_BUY,"Drury & Cole, Morden",UNDER OFFER,2023-10-21,,2023-10-21,"Sutton, Surrey"
3908,128694743,1,"Pembury Avenue, Worcester Park, Surrey, KT4",600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128694743#/?channel=RES_BUY,"Connor Prince, Worcester Park",Initial entry,2022-11-03,,2023-10-21,"Sutton, Surrey"
3909,128694743,2,"Pembury Avenue, Worcester Park, Surrey, KT4",575000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128694743#/?channel=RES_BUY,"Connor Prince, Worcester Park",Reduced,2022-11-11,,2023-10-21,"Sutton, Surrey"
3910,128694743,3,"Pembury Avenue, Worcester Park, Surrey, KT4",575000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128694743#/?channel=RES_BUY,"Connor Prince, Worcester Park",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
2058,128955308,1,"Beechwood Avenue, Harrow",585000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128955308#/?channel=RES_BUY,"Brian Cox, Harrow",Initial entry,2022-11-13,,2023-10-21,"Pinner, Middlesex"
2059,128955308,2,"Beechwood Avenue, Harrow",585000,3,Semi-Detached,https://www.rightmove.co.uk/properties/128955308#/?channel=RES_BUY,"Brian Cox, Harrow",UNDER OFFER,2023-10-21,,2023-10-21,"Pinner, Middlesex"
2544,128963978,1,"Taylor Road, Wallington, SM6",950000,4,Semi-Detached,https://www.rightmove.co.uk/properties/128963978#/?channel=RES_BUY,"Rosindale Pavitt, Wallington",Initial entry,2022-11-10,,2023-10-21,"Sutton, Surrey"
2545,128963978,2,"Taylor Road, Wallington, SM6",950000,4,Semi-Detached,https://www.rightmove.co.uk/properties/128963978#/?channel=RES_BUY,"Rosindale Pavitt, Wallington",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
