rowNum,Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
4016,125141855,4,"Park Lane, Carshalton, Surrey. SM5",525000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125141855#/?channel=RES_BUY,"Ushers Estate Agents, Carshalton",Reduced,2023-03-30,,2023-10-21,"Sutton, Surrey"
4017,125141855,5,"Park Lane, Carshalton, Surrey. SM5",550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125141855#/?channel=RES_BUY,"Ushers Estate Agents, Carshalton",Reduced,2023-08-02,,2023-10-21,"Sutton, Surrey"
4018,125141855,6,"Park Lane, Carshalton, Surrey. SM5",550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125141855#/?channel=RES_BUY,"Ushers Estate Agents, Carshalton",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
3881,125775818,1,"Colburn Way, Sutton",625000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125775818#/?channel=RES_BUY,"Barnard Marcus, Sutton",Initial entry,2022-08-05,,2023-10-21,"Sutton, Surrey"
3882,125775818,2,"Colburn Way, Sutton",600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125775818#/?channel=RES_BUY,"Barnard Marcus, Sutton",Reduced,2022-11-07,,2023-10-21,"Sutton, Surrey"
3883,125775818,3,"Colburn Way, Sutton",580000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125775818#/?channel=RES_BUY,"Barnard Marcus, Sutton",Reduced,2023-07-06,,2023-10-21,"Sutton, Surrey"
3884,125775818,4,"Colburn Way, Sutton",580000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125775818#/?channel=RES_BUY,"Barnard Marcus, Sutton",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
1055,125951645,1,"Church Road, Northwood, Middlesex, HA6",950000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125951645#/?channel=RES_BUY,"Savills, Northwood",Initial entry,2022-08-11,,2023-10-21,"Pinner, Middlesex"
1056,125951645,2,"Church Road, Northwood, Middlesex, HA6",900000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125951645#/?channel=RES_BUY,"Savills, Northwood",Reduced,2022-09-07,,2023-10-21,"Pinner, Middlesex"
1057,125951645,3,"Church Road, Northwood, Middlesex, HA6",875000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125951645#/?channel=RES_BUY,"Savills, Northwood",Reduced,2022-09-21,,2023-10-21,"Pinner, Middlesex"
1058,125951645,4,"Church Road, Northwood, Middlesex, HA6",870000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125951645#/?channel=RES_BUY,"Savills, Northwood",Reduced,2023-05-10,,2023-10-21,"Pinner, Middlesex"
1059,125951645,5,"Church Road, Northwood, Middlesex, HA6",870000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125951645#/?channel=RES_BUY,"Savills, Northwood",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
3482,126321170,1,"Wydell Close, SM4",650000,5,Semi-Detached,https://www.rightmove.co.uk/properties/126321170#/?channel=RES_BUY,"Hunters, Worcester Park",Initial entry,2022-08-24,,2023-10-21,"Sutton, Surrey"
3483,126321170,2,"Wydell Close, SM4",650000,5,Semi-Detached,https://www.rightmove.co.uk/properties/126321170#/?channel=RES_BUY,"Hunters, Worcester Park",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
999,126423047,1,"Church Road, Northwood, Middlesex, HA6",995000,4,Detached,https://www.rightmove.co.uk/properties/126423047#/?channel=RES_BUY,"Savills, Northwood",Initial entry,2022-08-26,,2023-10-21,"Pinner, Middlesex"
1000,126423047,2,"Church Road, Northwood, Middlesex, HA6",975000,4,Detached,https://www.rightmove.co.uk/properties/126423047#/?channel=RES_BUY,"Savills, Northwood",Reduced,2022-10-04,,2023-10-21,"Pinner, Middlesex"
1001,126423047,3,"Church Road, Northwood, Middlesex, HA6",950000,4,Detached,https://www.rightmove.co.uk/properties/126423047#/?channel=RES_BUY,"Savills, Northwood",Reduced,2022-11-04,,2023-10-21,"Pinner, Middlesex"
