Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
137019809,2,"Lime Grove, Ruislip",830000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137019809#/?channel=RES_BUY,"Allday & Miller, Uxbridge",Reduced,2023-09-05,,2023-10-21,"Pinner, Middlesex"
137019809,3,"Lime Grove, Ruislip",800000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137019809#/?channel=RES_BUY,"Allday & Miller, Uxbridge",Reduced,2023-09-19,,2023-10-21,"Pinner, Middlesex"
137019809,4,"Lime Grove, Ruislip",800000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137019809#/?channel=RES_BUY,"Allday & Miller, Uxbridge",SOLD STC,2023-10-24,,2023-10-24,"Pinner, Middlesex"
137027669,1,"Sandy Croft, Epsom",1375000,5,Chalet,https://www.rightmove.co.uk/properties/137027669#/?channel=RES_BUY,"The Personal Agent, Banstead",Initial entry,2023-07-06,,2023-10-21,"Sutton, Surrey"
137027669,2,"Sandy Croft, Epsom",1300000,5,Chalet,https://www.rightmove.co.uk/properties/137027669#/?channel=RES_BUY,"The Personal Agent, Banstead",Reduced,2023-10-16,,2023-10-21,"Sutton, Surrey"
137029904,1,North Harrow,825000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137029904#/?channel=RES_BUY,"Brian Cox, North Harrow",Initial entry,2023-07-06,,2023-10-21,"Pinner, Middlesex"
137029904,2,North Harrow,799950,4,Semi-Detached,https://www.rightmove.co.uk/properties/137029904#/?channel=RES_BUY,"Brian Cox, North Harrow",Reduced,2023-08-04,,2023-10-21,"Pinner, Middlesex"
137029904,3,North Harrow,799950,4,Semi-Detached,https://www.rightmove.co.uk/properties/137029904#/?channel=RES_BUY,"Brian Cox, North Harrow",UNDER OFFER,2023-10-21,,2023-10-21,"Pinner, Middlesex"
137039579,1,"Grove Road, Sutton, SM1",900000,5,Detached,https://www.rightmove.co.uk/properties/137039579#/?channel=RES_BUY,"Burn & Warne, Sutton",Initial entry,2023-07-06,,2023-10-21,"Sutton, Surrey"
137039579,2,"Grove Road, Sutton, SM1",875000,5,Detached,https://www.rightmove.co.uk/properties/137039579#/?channel=RES_BUY,"Burn & Warne, Sutton",Reduced,2023-07-17,,2023-10-21,"Sutton, Surrey"
137039579,3,"Grove Road, Sutton, SM1",875000,5,Detached,https://www.rightmove.co.uk/properties/137039579#/?channel=RES_BUY,"Burn & Warne, Sutton",UNDER OFFER,2023-10-21,,2023-10-21,"Sutton, Surrey"
137049155,1,"Grimsdyke Road, Hatch End, Pinner, HA5 4PJ",1095000,4,Detached,https://www.rightmove.co.uk/properties/137049155#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2023-07-07,,2023-10-19,"Pinner, Middlesex"
137049155,2,"Grimsdyke Road, Hatch End, Pinner, HA5 4PJ",1095000,4,Detached,https://www.rightmove.co.uk/properties/137049155#/?channel=RES_BUY,"Robsons, Pinner",SOLD STC,2023-10-19,,2023-10-19,"Pinner, Middlesex"
137061803,1,"The Causeway, Carshalton",550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/137061803#/?channel=RES_BUY,"Cromwells Estate Agents, Wallington",Initial entry,2023-07-07,,2023-10-21,"Sutton, Surrey"
137061803,2,"The Causeway, Carshalton",550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/137061803#/?channel=RES_BUY,"Cromwells Estate Agents, Wallington",UNDER OFFER,2023-10-21,,2023-10-21,"Sutton, Surrey"
137062562,1,"Connaught Road, Sutton, SM1",585000,3,Terraced,https://www.rightmove.co.uk/properties/137062562#/?channel=RES_BUY,"Winkworth, Cheam",Initial entry,2023-07-07,,2023-10-21,"Sutton, Surrey"
137062562,2,"Connaught Road, Sutton, SM1",565000,3,Terraced,https://www.rightmove.co.uk/properties/137062562#/?channel=RES_BUY,"Winkworth, Cheam",Reduced,2023-07-21,,2023-10-21,"Sutton, Surrey"
137062562,3,"Connaught Road, Sutton, SM1",550000,3,Terraced,https://www.rightmove.co.uk/properties/137062562#/?channel=RES_BUY,"Winkworth, Cheam",Reduced,2023-10-03,,2023-10-21,"Sutton, Surrey"
137063699,1,"Mavis Avenue, Stoneleigh",720000,4,Detached,https://www.rightmove.co.uk/properties/137063699#/?channel=RES_BUY,"The Personal Agent, Stoneleigh",Initial entry,2023-07-07,,2023-10-21,"Sutton, Surrey"
137063699,2,"Mavis Avenue, Stoneleigh",700000,4,Detached,https://www.rightmove.co.uk/properties/137063699#/?channel=RES_BUY,"The Personal Agent, Stoneleigh",Reduced,2023-08-16,,2023-10-21,"Sutton, Surrey"
137067326,1,"Carlton Crescent, Cheam, Sutton, SM3",700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137067326#/?channel=RES_BUY,"Burn & Warne, Sutton",Initial entry,2023-07-07,,2023-10-21,"Sutton, Surrey"
137067326,2,"Carlton Crescent, Cheam, Sutton, SM3",675000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137067326#/?channel=RES_BUY,"Burn & Warne, Sutton",Reduced,2023-08-25,,2023-10-21,"Sutton, Surrey"
